Category;X1988.1999;X1999.2010;X2010.2020;X2020.2023;X1988.2023
Dryland -> Water;1,33;0,4;2,21;0,93;9,83
Mudflat -> Water;47,75;25,57;32,97;31,28;53,42
Mangrove -> Water;6,47;10,83;10,34;16,27;8,19
Woodland -> Water;1,6;1,01;1,64;4,02;11,14
Water -> Dryland;0,13;0,54;0,35;0,1;0,44
Mudflat -> Dryland;68,51;70,97;45,38;229,29;142,19
Mangrove -> Dryland;0;0;0;0;0,91
Woodland -> Dryland;1004,45;658,91;1269,62;941,09;1951,03
Water -> Mudflat;22,67;31,23;18,74;11,54;5,59
Dryland -> Mudflat;82,06;38,56;180,11;110,84;195,18
Mangrove -> Mudflat;28,4;61,05;32,32;31,13;19,6
Woodland -> Mudflat;187,01;491,72;484,54;278,73;447,49
Water -> Mangrove;14,81;9,81;5,75;14,76;15,69
Dryland -> Mangrove;0;0;0;0;5,75
Mudflat -> Mangrove;112,19;76,68;199,96;101,17;324,95
Woodland -> Mangrove;0;0;0;0;21,81
Water -> Woodland;2,34;0,35;0,24;0,62;0,21
Dryland -> Woodland;703;957,8;304,79;517,59;494,1
Mudflat -> Woodland;279,79;176,26;403,48;268,41;226,32
Mangrove -> Woodland;0;0;0;0;1,18
Water -> Water;879,86;895,07;907,81;927,95;897,88
Dryland -> Dryland;1746,18;1822,5;2065,82;2751,8;1827,71
Mudflat -> Mudflat;758,56;729,22;670;755,57;519,92
Mangrove -> Mangrove;549,72;604,84;648,67;806,99;554,7
Woodland -> Woodland;4922,02;4755,52;4134,13;3618,79;3683,61
